status,station_no,name,district,address,parking_spaces,lat,lng,COUNTYNAME
1,196,新湖國小,內湖區,民權東路六段/成功路二段320巷31弄(東南側)(鄰近防災科學教育館),20,25.068744,121.589233,臺北市
1,197,饒河夜市(八德路側),松山區,八德路/松信路(西南側),34,25.049845,121.571885,臺北市
1,201,東陽公園,南港區,重陽路125巷26號至36-2號對面人行道,44,25.057164,121.597924,臺北市
1,202,捷運關渡站,北投區,大度路三段270巷/立功街55巷(西南側人行道),60,25.124646,121.467336,臺北市
1,203,古亭國中,萬華區,中華路二段465號對面人行道(古亭國中),40,25.024487,121.51057,臺北市
1,204,臺北市立大學(天母校區),士林區,士東路276號至280號對面人行道,42,25.113625,121.53742,臺北市
1,205,木柵光輝路口,文山區,木柵路一段290號西側人行道(木柵光輝路口),24,24.988241,121.55561,臺北市
1,206,捷運辛亥站,文山區,辛亥路四段114號旁人行道(捷運辛亥站),32,25.005386,121.55716,臺北市
1,207,福安國中,士林區,延平北路七段250號前人行道(福安國中),30,25.103242,121.487477,臺北市
1,208,龍山國小,萬華區,和平西路三段280號對面人行道(龍山國小)(鄰近艋舺夜市(萬華夜市)),46,25.035555,121.495342,臺北市
1,209,捷運復興崗站,北投區,中央北路三段17-1號對面人行道 (中央北路三段53巷側),42,25.137837,121.486071,臺北市
1,210,樂群二敬業四路口,中山區,樂群二路180號前廣場,60,25.079766,121.558135,臺北市
1,211,星雲金湖街口,內湖區,星雲街210巷11號旁平面停車場 ,40,25.080915,121.597339,臺北市
1,212,北安大直街口,中山區,北安路676號前人行道 ,50,25.084223,121.549452,臺北市
1,213,蘭雅國小,士林區,磺溪街80號~82號對面人行道(蘭雅國小東側),30,25.107782,121.523107,臺北市
1,214,基河一期國宅,內湖區,南京東路六段131號至137號對面綠地,54,25.055935,121.578645,臺北市
1,215,捷運北門站(3號出口),大同區,鄭州路/塔城街(西南側)(捷運北門站3號出口)(鄰近海關博物館/北門-承恩門),62,25.04993,121.510367,臺北市
1,216,培英公園,中山區,崇實路/大直街62巷(東南側),50,25.082553,121.544601,臺北市
1,217,臺北花市,內湖區,新湖三路28號前人行道(鄰近台北花市),40,25.062645,121.574267,臺北市
1,218,松山高中,信義區,基隆路一段172巷15號對面人行道(松山高中),42,25.043299,121.564108,臺北市
1,219,大理高中,萬華區,環河南路二段300號對面人行道(大理高中),38,25.031147,121.49074,臺北市
1,220,大稻埕公園,大同區,安西街1巷15號對面人行道(大稻埕公園),36,25.059162,121.510512,臺北市
1,221,泰和公園,信義區,吳興街583巷67弄(泰和公園),40,25.019276,121.57107,臺北市
1,222,撫順公園,中山區,中山北路2段180號對面(鄰近大同大學/雙城街夜市),30,25.064108,121.522065,臺北市
1,223,清江國小,北投區,三合街一段/公館路西南側人行道(清江國小),40,25.1274,121.507267,臺北市
1,224,社正公園,士林區,社中街43號對面停車場(社正公園),40,25.088243,121.510535,臺北市
1,225,臥龍樂業街口,大安區,臥龍街267號對面人行道(臥龍樂業街口),40,25.0186,121.554839,臺北市
1,226,向陽南港路口,南港區,向陽路49號旁人行道(向陽南港路口),32,25.054365,121.594228,臺北市
1,227,麗山高中,內湖區,環山路二段131號對面人行道(麗山高中),40,25.084244,121.57668,臺北市
1,228,捷運萬芳社區站,文山區,萬芳路60號西側廣場,32,24.998811,121.56789,臺北市
1,229,市民太原路口,大同區,鄭州路23號東側人行道(市民太原路口)(鄰近台北地下街/台北車站),34,25.049394,121.514611,臺北市
1,230,湖光國宅,內湖區,文德路22巷67號對面綠地,36,25.075366,121.580811,臺北市
1,231,內政部營建署,松山區,八德路二段342號東側人行道(鄰近微風廣場/黑松世界),40,25.047805,121.545022,臺北市
1,232,中山天母路口,士林區,天母西路3-55號前人行道,44,25.118843,121.529738,臺北市
1,233,捷運忠義站,北投區,中央北路四段262號對面人行道,50,25.131411,121.474155,臺北市
1,234,永欣綠地,北投區,行義路1號對面停車場,38,25.124162,121.526071,臺北市
1,235,市民東興路口,松山區,市民大道五段193號前方人行道(鄰近台北機廠),30,25.04846,121.565928,臺北市
1,236,關渡自然公園,北投區,關渡路68號對面人行道,36,25.119292,121.469138,臺北市
1,237,文山第二行政中心,文山區,興隆路二段130巷30號對面人行道,38,25.001149,121.551418,臺北市
1,238,瑞湖陽光街口,內湖區,瑞湖街101號對面人行道,32,25.073119,121.575965,臺北市
1,239,新明路262巷口,內湖區,新明路/新明路262巷口(東側),18,25.056641,121.583403,臺北市
2,240,南京建國路口,中山區,南京東路二段/建國北路二段(北側)(鄰近袖珍博物館),58,25.052141,121.536802,臺北市
1,241,林口公園,信義區,林口街72號對面公園(林口公園),38,25.038943,121.579146,臺北市
1,242,關渡宮,北投區,大度路三段301巷223-5號西北側停車場(鄰近關渡宮),40,25.117472,121.463161,臺北市
1,243,社子公園,士林區,永平街20巷37弄/永平街20巷11弄(社子公園南側),30,25.090202,121.506219,臺北市
1,244,復興市民路口,中山區,復興南路一段36-9號前人行道(復興市民路口)(鄰近微風廣場/黑松世界),46,25.045908,121.543736,臺北市
1,245,捷運中山國中站,中山區,復興北路370號前方人行道(捷運中山國中站),44,25.060632,121.544028,臺北市
1,246,國立故宮博物院,士林區,至善路二段155號對面停車場(鄰近至德園),40,25.098743,121.548086,臺北市
1,247,木柵公園,文山區,興隆路四段50號前人行道(木柵公園),34,24.987144,121.560627,臺北市
1,248,喬治工商,大安區,基隆路二段166號前(喬治工商),32,25.027123,121.555566,臺北市
1,249,中華桂林路口,萬華區,中華路一段206號前方廣場(鄰近國軍歷史文物館),32,25.037706,121.506624,臺北市
1,250,忠孝東路三段217巷口,大安區,忠孝東路三段221號前方人行道,38,25.04184,121.539873,臺北市
1,251,華齡公園,士林區,劍潭路80對面公園(華齡公園),36,25.083023,121.520692,臺北市
1,252,大安運動中心,大安區,辛亥路三段55號前方人行道(大安運動中心)(鄰近國立臺北教育大學),34,25.020544,121.545608,臺北市
1,253,芝山抽水站,士林區,至誠路二段80號對面人行道(芝山抽水站)(鄰近雙溪生活水岸自行車道),34,25.101423,121.52799,臺北市
1,254,立功立德路口,北投區,立功街/立德路(西南側人行道),58,25.125377,121.471482,臺北市
1,255,光復南路22巷口,松山區,光復南路23號對面人行道,30,25.046914,121.557674,臺北市
1,256,中山中正路口,士林區,中山北路五段609-625號前人行道(中山中正路口)(鄰近福林公園),40,25.096507,121.527526,臺北市
1,257,錦德公園,萬華區,德昌街243號對面公園(錦德公園),34,25.023316,121.492637,臺北市
1,258,聯合醫院中興院區,大同區,長安西路299-2號對面人行道(鄰近海關博物館),40,25.052096,121.507979,臺北市
1,259,南京遼寧街口,中山區,南京東路三段189號對面(南京遼寧街口東南側)(鄰近遼寧夜市),36,25.051761,121.542168,臺北市
1,260,民權瑞光路口,內湖區,民權東路六段50號前人行道,36,25.068616,121.583991,臺北市
1,261,健康新城,松山區,健康路177號前人行道(健康新城),44,25.054095,121.560928,臺北市
1,262,永安藝文館-表演36房,文山區,木新路二段156號前人行道(永安市場),28,24.984144,121.569064,臺北市
1,263,至善臨溪路口,士林區,至善路一段/臨溪路(東南側),38,25.097103,121.542153,臺北市
1,264,秀山區民活動中心,北投區,秀山路50號北側道路路側,28,25.145936,121.493009,臺北市
1,265,中央北路四段30巷口,北投區,中央北路四段30巷8號對面路側(鄰近北投行天宮),30,25.135394,121.478,臺北市
1,266,洲子一號公園,內湖區,基湖路32號南側公園,34,25.080258,121.564806,臺北市
1,267,八德中坡路口,南港區,八德路四段869號前方人行道(鄰近饒河街夜市),38,25.05062,121.580194,臺北市
1,268,南港高工,南港區,興中路29號前方人行道,30,25.056655,121.607055,臺北市
1,269,三軍總醫院,內湖區,成功路二段/成功路二段323巷東北角人行道(鄰近防災科學教育館),30,25.070723,121.590304,臺北市
1,270,雨農國小,士林區,忠義街6號對面人行道(雨農國小)(鄰近芝山岩/芝山巖惠濟宮/芝山文化生態綠園),34,25.105429,121.529217,臺北市
1,271,伊通長安路口,中山區,伊通街/長安東路二段(交叉口西南側路側)(鄰近袖珍博物館/樹火紀念紙博物館),28,25.048334,121.534693,臺北市
1,272,忠順區民活動中心,文山區,忠順街二段22號前方人行道(忠順區民活動中心),32,24.984707,121.563125,臺北市
1,273,芝山國小,士林區,德行東路/德行東路283巷東北角人行道(芝山國小),38,25.110437,121.535954,臺北市
1,274,扶輪親恩公園,內湖區,民權東路六段13之15號對面人行道(民權大橋)(鄰近華生水水體驗館),34,25.066997,121.579833,臺北市
1,275,西本願寺廣場,萬華區,中華路一段/長沙街二段路口西南側人行道(西本願寺)(鄰近國軍歷史文物館/中山堂/西門紅樓),58,25.040988,121.507688,臺北市
1,276,三興公園,信義區,吳興街118巷35弄28號前方(三興公園),38,25.028679,121.55932,臺北市
1,277,中山堂,中正區,延平南路/武昌街一段東南角人行道(延平武昌街口)(鄰近中山堂/西門町),32,25.044091,121.51025,臺北市
1,278,明美公園,內湖區,石潭路/南京東路六段451巷口西南人行道綠帶(明美公園),32,25.062557,121.586065,臺北市
1,279,南港車站(興華路),南港區,市民大道八段/興華路口西北側人行道(鄰近南港高鐵站),48,25.053432,121.606331,臺北市
1,280,士林新天地,士林區,大南路325號前方人行道,28,25.089034,121.51732,臺北市
1,281,松江公園,中山區,松江路/松江路84巷(西北側路側)(鄰近樹火紀念紙博物館),32,25.050245,121.532725,臺北市
1,282,富台公園,信義區,松信路209號前人行道,30,25.041935,121.571999,臺北市
1,283,中央北路四段540巷口,北投區,中央北路四段529號對面,32,25.127959,121.4677,臺北市
1,284,華聲公園,士林區,華聲街17號南側路側(全聯),44,25.096166,121.522096,臺北市
1,285,螢橋國小,中正區,泉州街32號對面人行道(螢橋國小),40,25.025966,121.51377,臺北市
1,286,德明財經科技大學,內湖區,環山路一段56號對面(德明財經科技大學),44,25.086372,121.565713,臺北市
1,287,第二果菜批發市場,中山區,民族東路410巷1號 對面 遷到 民族東路410巷2弄20號 東側,40,25.066424,121.537354,臺北市
1,288,濟南紹興路口,中正區,濟南路一段/紹興南街口東南側(鄰近蝴蝶宮昆蟲博物館/國立台北商業技術學院),62,25.041928,121.524591,臺北市
1,289,牯嶺公園,中正區,廈門街113巷/牯嶺街口西側,44,25.023377,121.518835,臺北市
1,290,新生公園,中山區,民族東路/吉林路口(西北側)(鄰近花博公園新生園區),26,25.068387,121.530188,臺北市
1,291,捷運松山站(3號出口),松山區,松山路/市民大道六段(西北側捷運3號出口)(鄰近饒河街夜市/彩虹橋),50,25.049616,121.577459,臺北市
1,292,合心廣場,南港區,玉成街80號(對面),40,25.046361,121.582848,臺北市
1,293,自來水園區,中正區,中正區思源街16號對面人行道(鄰近自來水博物館/自來水園區),40,25.013284,121.530037,臺北市
1,294,朱崙商場,中山區,龍江路15號前方人行道(鄰近遼寧夜市),36,25.047617,121.540431,臺北市
1,295,敦親公園,大安區,和平東路二段96巷8之1號(前方)(鄰近資訊科學展示中心),26,25.023473,121.541083,臺北市
1,296,萬和二號公園,文山區,萬隆街255號(對面),32,25.001545,121.536446,臺北市
1,297,長沙公園,萬華區,環河南路一段280號之1(東側)(鄰近艋舺青山宮),26,25.041702,121.499922,臺北市
1,298,太原五原路口,大同區,太原路 / 五原路口(東南側)(鄰近寧夏夜市),32,25.056458,121.516976,臺北市
1,299,萬華國中,萬華區,西藏路 / 莒光路299巷口(東南側),32,25.029264,121.499358,臺北市
1,300,信義基隆路口,信義區,信義路四段401號(前方)(鄰近台北國際會議中心),28,25.033209,121.558731,臺北市
1,301,林森長春路口,中山區,林森北路/長春路口西北角人行道(林森長春路口)(鄰近林森公園/康樂公園),28,25.055062,121.525383,臺北市
1,302,敦北公園,松山區,敦化北路 / 富錦街口(東北側),40,25.060746,121.550711,臺北市
1,303,安泰街83巷,內湖區,安泰街83巷3號對面,34,25.076691,121.617085,臺北市
1,304,金華公園,大安區,金華街251號對面(金華公園)(鄰近永康街),32,25.029902,121.531235,臺北市
1,305,碧山公園,內湖區,內湖路三段60巷8弄1號(東南側),46,25.087413,121.592253,臺北市
1,306,捷運古亭站(6號出口),大安區,羅斯福路二段 / 羅斯福路二段15巷口(西側),52,25.027781,121.52198,臺北市
1,307,仁愛安和路口,大安區,仁愛路四段 / 仁愛路四段222巷(東南側),30,25.03757,121.552076,臺北市
1,308,西松高中,松山區,健康路325巷 / 健康路325巷12弄口(東北側),30,25.055672,121.567127,臺北市
1,309,三軍總醫院(松山分院),松山區,光復北路 / 光復北路190巷口(東南側),38,25.05447,121.556098,臺北市
1,310,國立臺北大學(臺北校區),中山區,民生東路三段 / 復興北路280巷10弄口(西北側),32,25.057923,121.542732,臺北市
1,311,捷運忠孝新生站(2號出口),中正區,忠孝東路二段123號對面(捷運忠孝新生站2號出口)(鄰近光華數位新天地(光華商場)),30,25.042392,121.532229,臺北市
1,312,捷運信義安和站(1號出口),大安區,信義路四段 / 安和路一段口(東北側),34,25.033323,121.552787,臺北市
1,313,光華商場,中正區,市民大道三段/新生北路一段路口西南側人行道(光華商場)(鄰近光華數位新天地(光華商場)/三創生活園區),64,25.04515,121.532738,臺北市
1,314,敦化長春路口,松山區,敦化北路 / 敦化北路120巷口(西南側)(鄰近臺北小巨蛋),34,25.053614,121.54872,臺北市
1,315,捷運萬隆站(1號出口),文山區,羅斯福路五段 / 羅斯福路五段236巷口(南側),38,25.001447,121.539037,臺北市
1,316,民有一號公園,松山區,敦化北路244巷 / 民權東路三段160巷口(西南側),34,25.060911,121.54763,臺北市
1,317,雙園國中,萬華區,西園路二段320巷 / 興義街(西北側),30,25.026823,121.491675,臺北市
1,318,成功金龍路口,內湖區,成功路四段/金龍路口(捷運內湖站1號出口),30,25.084135,121.59484,臺北市
1,319,民族林森路口,中山區,民族東路 / 林森北路口(西北側)(鄰近花博公園美術園區),38,25.068507,121.525322,臺北市
1,320,捷運南京三民站(3號出口),松山區,南京東路五段204號(前方),28,25.051287,121.564262,臺北市
1,321,莒光大埔街口,中正區,莒光路/大埔街口東北側(莒光大埔街口)(鄰近南機場夜市),32,25.031334,121.505085,臺北市
1,322,永盛公園(民生東路一段23巷),中山區,民生東路一段23巷 / 民生東路一段27巷口(北側),30,25.058835,121.52504,臺北市
1,323,新興公園,中山區,錦州街13巷 / 中山北路二段137巷口(東南側)(鄰近雙城街夜市),26,25.061568,121.524392,臺北市
1,324,市立圖書館葫蘆堵分館,士林區,延平北路5段136巷4號對面,24,25.08221,121.5108,臺北市
1,325,南京東路六段368巷,內湖區,南京東路六段368巷30號對面人行道,40,25.05827,121.58707,臺北市
1,326,基隆路一段101巷口,信義區,基隆路一段 / 基隆路一段101巷口(東南側),30,25.04525,121.56709,臺北市
1,327,重慶南海路口,中正區,重慶南路二段45號前方(郵政博物館前)(鄰近郵政博物館/國立台灣藝術教育館),24,25.03158,121.51464,臺北市
1,328,一江公園,中山區,一江街 / 松江路132巷口(西北側)(鄰近四平陽光商圈),36,25.05316,121.53146,臺北市
1,329,樂群二明水路口,中山區,樂群二路 / 明水路口(東側),34,25.07983,121.55236,臺北市
1,330,迪化休閒運動公園,大同區,延平北路四段200號(南側),28,25.07491,121.5115,臺北市
1,331,民族玉門街口,中山區,民族西路 / 民族西路31巷口(東北側)(鄰近大同大學/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館),34,25.06859,121.51974,臺北市
1,332,捷運中山站(2號出口),中山區,南京西路6號(前方)(鄰近台北之家(光點台北)),34,25.05225,121.52193,臺北市
1,333,復盛公園,松山區,八德路四段106巷6弄2號(東側)(鄰近京華城/中保寶貝城(BabyBoss City)/台北機廠),28,25.047428,121.561182,臺北市
1,334,敦化南路二段103巷口,大安區,敦化南路二段97-101號(西側),24,25.028973,121.549024,臺北市
1,335,景文中學,文山區,保儀路/木柵路三段102巷口(西南側),32,24.986301,121.567855,臺北市
1,336,承德路三段8巷口,大同區,承德路三段12號(前方),22,25.06382,121.51815,臺北市
