time_id,time,week,hour,weekDays,number
10316,2020/12/24 23:25,3,23,1,0
10317,2020/12/24 23:30,3,23,1,0
10318,2020/12/24 23:35,3,23,1,0
10319,2020/12/24 23:40,3,23,1,0
10320,2020/12/24 23:45,3,23,1,0
10321,2020/12/24 23:50,3,23,1,0
10322,2020/12/24 23:56,3,23,1,0
10323,2020/12/25 0:01,4,0,1,0
10324,2020/12/25 0:06,4,0,1,0
10325,2020/12/25 0:11,4,0,1,0
10326,2020/12/25 0:16,4,0,1,0
10327,2020/12/25 0:21,4,0,1,0
10328,2020/12/25 0:26,4,0,1,0
10329,2020/12/25 0:31,4,0,1,0
10330,2020/12/25 0:36,4,0,1,0
10331,2020/12/25 0:41,4,0,1,0
10332,2020/12/25 0:47,4,0,1,0
10333,2020/12/25 0:52,4,0,1,0
10334,2020/12/25 0:57,4,0,1,0
10335,2020/12/25 1:02,4,1,1,0
10336,2020/12/25 1:07,4,1,1,0
10337,2020/12/25 1:12,4,1,1,0
10338,2020/12/25 1:17,4,1,1,0
10339,2020/12/25 1:22,4,1,1,0
10340,2020/12/25 1:27,4,1,1,0
10341,2020/12/25 1:32,4,1,1,0
10342,2020/12/25 1:38,4,1,1,0
10343,2020/12/25 1:43,4,1,1,0
10344,2020/12/25 1:48,4,1,1,0
10345,2020/12/25 1:53,4,1,1,0
10346,2020/12/25 1:58,4,1,1,0
10347,2020/12/25 2:03,4,2,1,0
10348,2020/12/25 2:08,4,2,1,0
10349,2020/12/25 2:13,4,2,1,0
10350,2020/12/25 2:18,4,2,1,0
10351,2020/12/25 2:23,4,2,1,0
10352,2020/12/25 2:29,4,2,1,0
10353,2020/12/25 2:34,4,2,1,0
10354,2020/12/25 2:39,4,2,1,0
10355,2020/12/25 2:44,4,2,1,0
10356,2020/12/25 2:49,4,2,1,0
10357,2020/12/25 2:54,4,2,1,0
10358,2020/12/25 2:59,4,2,1,0
10359,2020/12/25 3:04,4,3,1,0
10360,2020/12/25 3:09,4,3,1,0
10361,2020/12/25 3:14,4,3,1,0
10362,2020/12/25 3:20,4,3,1,0
10363,2020/12/25 3:25,4,3,1,0
10364,2020/12/25 3:30,4,3,1,0
10365,2020/12/25 3:35,4,3,1,0
10366,2020/12/25 3:40,4,3,1,0
10367,2020/12/25 3:45,4,3,1,0
10368,2020/12/25 3:50,4,3,1,0
10369,2020/12/25 3:55,4,3,1,0
10370,2020/12/25 4:00,4,4,1,0
10371,2020/12/25 4:05,4,4,1,0
10372,2020/12/25 4:11,4,4,1,0
10373,2020/12/25 4:16,4,4,1,0
10374,2020/12/25 4:21,4,4,1,0
10375,2020/12/25 4:26,4,4,1,0
10376,2020/12/25 4:31,4,4,1,0
10377,2020/12/25 4:36,4,4,1,0
10378,2020/12/25 4:41,4,4,1,0
