time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
81,501208047,6,9,0,0.0
81,501207077,12,4,0,0.0
81,501207082,6,10,0,0.0
81,501207086,8,7,0,0.0
81,501207089,4,7,0,0.0
81,501206080,12,3,0,0.0
81,501208055,11,9,0,1.0
81,501202045,7,21,0,-2.0
81,501212024,23,6,0,2.0
81,501216020,2,14,0,1.0
81,501216005,15,15,0,0.0
81,501206084,14,2,0,0.0
81,501226003,10,22,0,0.0
81,501207080,3,13,0,-2.0
81,501207088,6,9,0,0.0
81,501208035,20,7,0,0.0
81,501218006,6,7,0,1.0
81,501214015,11,2,0,0.0
81,501206077,12,3,0,0.0
81,501220005,3,8,0,0.0
81,501203076,6,10,0,0.0
81,501206073,5,6,0,0.0
81,501206075,9,6,0,0.0
81,501206081,15,2,0,0.0
81,501206083,6,9,0,0.0
81,501203050,11,31,1,2.0
81,501206063,7,9,0,1.0
81,501206064,0,14,0,0.0
81,501206071,0,16,0,0.0
81,501208059,7,22,0,0.0
81,501209040,6,9,0,0.0
81,501205022,0,16,0,0.0
81,501206087,12,9,7,-1.0
81,501205024,0,16,0,-1.0
81,501209036,6,10,0,0.0
81,501209042,9,6,0,0.0
81,501209045,5,11,0,0.0
81,501214012,13,2,0,0.0
81,501206069,2,12,0,0.0
81,501206070,0,16,0,0.0
81,501205023,11,4,0,0.0
81,501209027,3,16,0,1.0
81,501209034,15,0,0,1.0
81,501209041,8,7,0,0.0
81,501209044,3,12,0,0.0
81,501206067,3,36,0,0.0
81,501208050,2,8,0,0.0
81,501206072,5,10,0,0.0
81,501207074,23,5,0,3.0
81,501219013,6,9,0,0.0
81,501219011,10,5,0,0.0
81,501216012,13,1,0,0.0
81,501206074,9,5,0,0.0
81,501207076,8,10,0,0.0
81,501207078,4,13,0,-2.0
81,501207081,5,9,0,0.0
81,501207084,14,2,0,0.0
81,501207085,7,8,0,0.0
81,501208049,9,7,0,0.0
81,501207091,10,6,0,0.0
81,501220001,9,9,0,0.0
81,501228003,3,11,0,0.0
81,501228004,9,7,0,0.0
81,501217001,6,7,0,0.0
81,501217002,2,8,0,0.0
81,501213001,11,3,0,0.0
81,501218009,6,10,0,1.0
81,501226002,10,5,0,0.0
81,501220004,0,18,0,0.0
81,501224002,7,8,0,0.0
81,501224003,5,10,0,0.0
81,501201018,6,15,0,0.0
81,501207062,13,13,0,0.0
81,501201023,14,14,0,0.0
81,501209033,2,10,0,1.0
81,501218007,9,4,0,0.0
81,501218008,3,28,0,0.0
81,501209038,9,7,0,0.0
81,501209046,0,16,0,0.0
81,501216021,11,7,0,0.0
81,501207060,30,12,0,2.0
81,501210035,21,3,0,-2.0
81,501202052,11,15,0,0.0
81,501211001,11,5,0,0.0
81,501211002,5,10,0,0.0
81,501214011,4,12,0,0.0
